,profile,allocation_IMM,mean_IMM,allocation_WMPM,mean_WMPM,mean_vote
370,"((0.3, 0.7), (0.0, 1.0), (0.7, 0.3))",[0.333 0.667],7.45058065243498e-09,[0.3 0.7],0.06666666666666665,[0.333 0.667]
371,"((0.3, 0.7), (0.0, 1.0), (0.8, 0.2))",[0.333 0.667],0.06666666915019359,[0.3 0.7],0.13333333333333336,[0.367 0.633]
372,"((0.3, 0.7), (0.0, 1.0), (0.9, 0.1))",[0.333 0.667],0.1333333358168602,[0.3 0.7],0.19999999999999996,[0.4 0.6]
373,"((0.3, 0.7), (0.0, 1.0), (1.0, 0.0))",[0.333 0.667],0.2000000024835269,[0.3 0.7],0.26666666666666666,[0.433 0.567]
374,"((0.3, 0.7), (0.1, 0.9), (0.0, 1.0))",[0.3 0.7],0.33333333333333337,[0.1 0.9],0.06666666666666665,[0.133 0.867]
375,"((0.3, 0.7), (0.1, 0.9), (0.1, 0.9))",[0.3 0.7],0.2666666666666667,[0.1 0.9],0.1333333333333333,[0.167 0.833]
376,"((0.3, 0.7), (0.1, 0.9), (0.2, 0.8))",[0.3 0.7],0.20000000000000015,[0.2 0.8],1.3877787807814457e-16,[0.2 0.8]
377,"((0.3, 0.7), (0.1, 0.9), (0.3, 0.7))",[0.3 0.7],0.13333333333333333,[0.3 0.7],0.13333333333333333,[0.233 0.767]
378,"((0.3, 0.7), (0.1, 0.9), (0.4, 0.6))",[0.333 0.667],0.13333333084980653,[0.3 0.7],0.06666666666666676,[0.267 0.733]
379,"((0.3, 0.7), (0.1, 0.9), (0.5, 0.5))",[0.333 0.667],0.06666666418313988,[0.3 0.7],1.1102230246251565e-16,[0.3 0.7]
380,"((0.3, 0.7), (0.1, 0.9), (0.6, 0.4))",[0.333 0.667],7.45058065243498e-09,[0.3 0.7],0.06666666666666665,[0.333 0.667]
381,"((0.3, 0.7), (0.1, 0.9), (0.7, 0.3))",[0.333 0.667],0.06666666915019348,[0.3 0.7],0.13333333333333325,[0.367 0.633]
382,"((0.3, 0.7), (0.1, 0.9), (0.8, 0.2))",[0.333 0.667],0.1333333358168603,[0.3 0.7],0.20000000000000007,[0.4 0.6]
383,"((0.3, 0.7), (0.1, 0.9), (0.9, 0.1))",[0.333 0.667],0.20000000248352678,[0.3 0.7],0.26666666666666655,[0.433 0.567]
384,"((0.3, 0.7), (0.1, 0.9), (1.0, 0.0))",[0.333 0.667],0.2666666691501935,[0.3 0.7],0.33333333333333326,[0.467 0.533]
385,"((0.3, 0.7), (0.2, 0.8), (0.0, 1.0))",[0.3 0.7],0.2666666666666667,[0.2 0.8],0.06666666666666668,[0.167 0.833]
386,"((0.3, 0.7), (0.2, 0.8), (0.1, 0.9))",[0.3 0.7],0.19999999999999998,[0.2 0.8],1.3877787807814457e-16,[0.2 0.8]
387,"((0.3, 0.7), (0.2, 0.8), (0.2, 0.8))",[0.3 0.7],0.13333333333333333,[0.2 0.8],0.06666666666666674,[0.233 0.767]
388,"((0.3, 0.7), (0.2, 0.8), (0.3, 0.7))",[0.3 0.7],0.06666666666666676,[0.3 0.7],0.06666666666666676,[0.267 0.733]
389,"((0.3, 0.7), (0.2, 0.8), (0.4, 0.6))",[0.333 0.667],0.06666666418313988,[0.3 0.7],1.1102230246251565e-16,[0.3 0.7]
390,"((0.3, 0.7), (0.2, 0.8), (0.5, 0.5))",[0.333 0.667],7.45058065243498e-09,[0.3 0.7],0.06666666666666665,[0.333 0.667]
